hale	 adj.  健壮的， 矍铄的
belligerent	 adj.  发动战争的； 好斗的， 好挑衅的
supplant	 v.  排挤， 取代
abrupt	 adj.  突然的， 意外的； 唐突的
predispose	 v.  使预先有倾向； 易受感染
spontaneous	 adj.  自发的； 自然的
blameworthy	 adj.  该责备的， 有过失的
gloomy	 adj.  阴暗的； 没有希望的； 阴郁的， 忧郁的
deference	 n.  敬意， 尊重
compassionate	 adj.  有同情心的
other-directed	 adj.  受人支配的
protective	 adj.  保护的， 防护的
grandiloquence	 n.  豪言壮语， 夸张之言
bogus	 adj.  伪造的， 假的
flit	 v.  掠过， 迅速飞过
indigence	 n.  贫穷， 贫困
vengeance	 n.  报仇， 报复
authenticate	 v.  证明…是真实的
concede	 v.  承认； 让步
grumpy	 adj.  脾气暴躁的
reprimand	 v.  训诫， 谴责 n. 训诫，谴责
transitional	 adj.  转变的， 变迁的
wreak	 v.  发泄， 报复； 发泄怒火
commission	 n.  委托； 佣金
flip	 v. 用指轻弹；蹦蹦跳跳 adj.  无礼的； 冒失的； 轻率的
nibble	 v.  一点点地咬， 慢慢啃
rescind	 v.  废除， 取消
resume	 v.  重新开始， 继续
tatter	 v.  撕碎 n. 碎片
spiral	 adj. 螺旋形的；上升的 v.  螺旋式上升或下降
pied	 adj.  杂色的
effrontery	 n.  厚颜无耻； 放肆
gripping	 adj.  吸引注意力的， 扣人心弦的
stasis	 n.  停滞
obvious	 adj.  明显的， 显而易见的
dogged	 adj.  顽强的
earthy	 adj.  粗俗的， 土气的
undulate	 v.  波动， 起伏
obese	 adj.  极胖的
empty	 adj. 空的，缺乏的 v.  变空， 把…弄空
goof	 v.  犯错误； 闲逛， 消磨时间
beatific	 adj.  幸福的， 快乐的
deploy	 v.  部署； 拉长， 展开 especially in width
huddle	 v. 挤成一团 n.  一堆人
tie	 v.  系， 拴， 绑 n. 平局，不分胜负
rendition	 n.  表演， 演唱
gumption	 n.  进取心， 魄力； 精明强干
myriad	 adj.  许多的， 无数的
tattle	 v.  闲聊； 泄露秘密
disperse	 v.  消散， 驱散
erratic	 adj.  无规律的， 不稳定的； 古怪的
adoration	 n.  崇拜， 爱慕
cinder	 n.  余烬， 煤渣
fantasy	 n.  想象， 幻想
erode	 v.  侵蚀； 受到侵蚀
informative	 adj.  提供信息的； 见闻广博的
tusk	 n.  长牙
sane	 adj.  神志清楚的； 明智的
frustrate	 v.  挫败， 使沮丧
jounce	 v.  颠簸地移动
gorgeous	 adj.  华丽的； 极好的
importune	 v.  强求， 胡搅蛮缠
wacky	 adj.  古怪的， 乖僻的
harp	 v.  弹竖琴； 喋喋不休地说或写 n. 竖琴
inmate	 n.  同住者， 同居者
fickleness	 n.  浮躁； 变化无常
embody	 v.  使具体化， 体现
regale	 v.  款待， 宴请； 使…快乐
welter	 n.  混乱， 杂乱无章
muster	 v.  召集， 聚集
