weight-training	 举重运动
body-building	 健身运动
come down with	 染上(病)
acupressure	 n. 指压按摩（疗法）
massage	 n& vi. 按摩
prone	 adj. 易于发生（不愉快事）的
picky	 adj. 好挑剔的
out of breath	 上气不接下气的
stress sb. out	 使某人紧张、焦虑
lose one's appetite	 没有食欲
acupuncture	 n. 针灸
well-liked	 adj. 漂亮的
sleepless	 adj. 失眠的
laid-back	 adj. 自在的，从容的
forgetfulness	 n. 健忘
stress-reducing	 adj. 减轻压力的
energise	 vt. 激励，激发
disorganisation	 n. 计划不周，混乱
unreasonable	 adj. 不合理的，不讲道理的
achievable	 adj. 可完成的，可有成就的
credit	 n. 赞扬，荣誉，功劳
yoga	 n. 瑜伽，瑜伽术
relieve	 vt. 减轻，解除
muscle	 n. 肌肉
unblock	 vt. 除去障碍
filter	 vt&vi. 过滤
peacefulness	 n. 和平，平静，安宁
soothing	 adj. 抚慰的，使人宽心的
unwanted	 adj. 不必要的，多余的
overflow	 vt. （使）泛滥，（使）溢出
visualise	 vt. 使显现，使形象化
smooth	 adj. 平滑的，平坦的，平稳的
ruffle	 vt. 扰乱，使烦恼
drain	 vi. 排出，流掉
facilitator	 n. 促进者，推动者
impractical	 adj. 不切实际的，不现实的
infinite	 adj. 无穷的，无限的
rumble	 n. 隆隆声，辘辘声，吵嚷声
clutter	 n. 混乱
dispose	 vi. 处理（尤指难处理的东西）
herbal	 adj. 草药的
organic	 adj. 有机的；器官的
desktop	 n. 台式电脑
icepack	 n. 冰袋
balmy	 adj. 温和的，令人愉快的
bearable	 adj. 可忍受的，支持得住的
mauve	 adj. 紫红色的
bathe	 vt. 沐浴，洗
break through	 突围，突破
obese	 adj. 肥胖的，肥大的
excess	 adj. 过度的，额外的
naive	 adj. 天真的
exceptional	 adj. 杰出的；不寻常的
poll	 n. 投票，民意测验
finalist	 n. 参加决赛的选手
endure	 vt&vi. 忍耐，忍受
refuge	 n. 避难处，藏身处
overrun	 vt. 泛滥；横行
teenage	 adj. 十几岁的
gang	 n. (一)伙，（一）群
courageous	 adj. 勇敢的，有胆量的
