ability	 n. 能力，能耐；才能
able	 adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔
about	 prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人
above	 prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
absent	 adj. 缺席的；缺少的；心不在焉的；茫然的 v. 使缺席
accent	 n. 口音；重音；强调；特点；重音符号 v. 强调；重读；带…口音讲话
accept	 v. 接受；承认；承担；承兑；容纳
accident	 n. 事故；意外；[法] 意外事件；机遇
ache	 v. 疼痛；渴望 n. 疼痛
achieve	 v. 取得；获得；实现；成功
across	 prep. 穿过；横穿 adv. 横过；在对面
act	 v. 扮演；装作，举动像 n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
action	 n. 行动；活动；功能；战斗；情节
active	 adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
activity	 n. 活动；行动；活跃
add	 v. 加；增加；加起来；做加法 n. 加法，加法运算
address	 v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
advertisement	 n. 广告，宣传
advice	 n. 建议；忠告；劝告；通知
advise	 v. 建议；劝告，忠告；通知；警告
afford	 v. 给予，提供；买得起 n. (Afford)人名；(英)阿福德
afraid	 adj. 害怕的；恐怕；担心的
after	 adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
afternoon	 n. 午后，下午
again	 adv. 又，此外；再一次；再说；增加 n. （英、保）阿盖恩
against	 prep. 反对，违反；靠；倚；防备 adj. 不利的；对立的
age	 n. 年龄；时代；寿命，使用年限；阶段 v. 成熟；变老
ago	 adv. 以前，以往 adj. 以前的；过去的 n. (Ago)人名；(英、西、意、塞、瑞典)阿戈
agree	 v. 同意，赞成；承认；约定，商定
agreement	 n. 协议；同意，一致
air	 n. 空气，大气；天空；样子；曲调 v. 使通风，晾干；夸耀
airline	 n. 航空公司；航线 adj. 航线的
airplane	 n. 飞机
airport	 n. 机场；航空站
alive	 adj. 活着的；活泼的；有生气的
all	 adj. 全部的 adv. 全然地；越发 n. 全部 pron. 全部
allow	 v. 允许；给予；认可
almost	 adv. 差不多，几乎
alone	 adj. 独自的；单独的；孤独的 adv. 独自地；单独地
along	 adv. 一起；向前；来到 prep. 沿着；顺着
aloud	 adv. 大声地；出声地
already	 adv. 已经，早已；先前
also	 adv. 也；而且；同样 conj. 并且；另外 n. (Also)人名；(罗)阿尔索
although	 conj. 尽管；虽然；但是；然而
always	 adv. 永远，一直；总是；常常
America	 n. 美洲（包括北美和南美洲）；美国
American	 n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的
among	 prep. 在…中间；在…之中
ancient	 adj. 古代的；古老的，过时的；年老的 n. 古代人；老人
and	 conj. 和，与；就；而且；但是；然后 n. (And)人名；(土、瑞典)安德
angry	 adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal	 n. 动物
another	 adj. 又一，另一；另外的；不同的 pron. 另一个；又一个 prep. 另一个；另一个人
answer	 v. 回答；符合 n. 回答；答案；答辩
ant	 n. 蚂蚁
any	 adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼
anyone	 pron. 任何人；任何一个
anything	 pron. 任何事
anyway	 adv. 无论如何，不管怎样；总之
anywhere	 adv. 在任何地方；无论何处 n. 任何地方
appear	 v. 出现；显得；似乎；出庭；登场
apple	 n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
April	 n. 四月
area	 n. 区域，地区；面积；范围
arm	 n. 手臂；武器；袖子；装备；部门 v. 武装起来
army	 n. 陆军，军队
around	 adv. 大约；到处；在附近 prep. 四处；在…周围
arrive	 v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫
art	 n. 艺术；美术；艺术品 adj. 艺术的；艺术品的 v. 是（be的变体）
